# Memory mountain (MB/sec)
--	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
17	16217	7729	4983	3058	2723	2310	3064	1066	1005	808	1045	612	539	701	588	
16	9007	8616	6188	2692	2907	1673	1399	1013	1254	686	736	637	658	483	638	
15	9495	7106	5066	3487	2531	2222	1735	1621	1688	1321	1215	1106	1306	918	953	
14	10246	3119	5897	5351	5636	4069	4012	3840	3079	2905	2199	2240	2138	2280	2323	
13	10352	10742	7648	7471	7667	8197	7365	7552	6665	6220	6036	5481	5437	4764	4895	
12	37737	26715	18435	14524	11280	9542	6871	2030	2889	3576	6490	5607	5780	5521	5473	
11	45005	36089	28573	22331	18488	15285	13722	11902	12179	12425	13076	14160	14547	18730	16801	
10	52770	46948	20950	18395	30048	33280	29286	25901	25478	24975	24288	25268	6049	13688	6498	
9	24338	20830	25453	23201	21354	19381	16646	14061	25661	23390	23596	25500	25641	25899	25687	
8	52051	46828	45964	40116	36594	32392	29131	25413	25946	25345	13002	25271	22049	25554	23844	
7	51020	44452	40430	1449	11276	31382	10489	9843	14037	13782	13338	15901	15777	16090	18041	
6	34639	30837	35424	30920	20559	18622	16551	14643	15071	22022	30750	32037	33394	37139	36767	
5	43908	42953	42100	44531	5763	48225	33118	43564	48529	49848	49204	45648	45016	46421	44041	
4	57429	22543	20440	18922	1969	49235	47094	4109	44933	42348	42990	16915	19620	20292	23718	
